Company_Name,Market,Country_Code,City,Founded_Year,Funding_Rounds,Funding_Total_USD,First_Funding_At,Last_Funding_At,Status
mii - made in india,,IND,New Delhi,2014,1,250000,2014-08-10,2014-08-10,Operating
Miko, EdTech,IND,Mumbai,2015,5,21540065,17-09-2017,21-01-2021,Operating
Milk Mantra, Health and Wellness ,IND,Bhubaneswar,,2,13080000,2011-02-02,2014-06-30,Operating
Milkbasket,E-Commerce,IND,Haryana,2014,11,38519469,23-03-2015,20-08-2025,Operating
Minglebox, Social Media ,IND,Bengaluru,2006,1,7000000,2007-05-01,2007-05-01,Operating
MobiKwik, Payments ,IND,Gurgaon,2009,2,30250000,2012-09-16,2014-11-05,Operating
Mobile2Win India, Mobile ,IND,Mumbai,,1,15000000,2006-11-13,2006-11-13,Operating
MobileVeda, Mobile ,IND,Vellore,2007,1,9000,2007-04-01,2007-04-01,Operating
mobME Solutions, Mobile ,IND,Cochin,2006,3,3400000,2006-12-01,2014-01-14,Operating
MobStac, Mobile ,IND,Bengaluru,2009,1,2000000,2013-12-01,2013-12-01,Operating
Mobule, Education ,IND,Bengaluru,2013,1,0,2014-01-20,2014-01-20,Operating
Modern Family Doctor, Health Care ,IND,Bengaluru,,1,0,2014-02-20,2014-02-20,Operating
Momoe Technologies, Mobile Payments ,IND,Bengaluru,2014,1,0,2014-10-20,2014-10-20,Operating
Monarch Innovative Technologies, Software ,IND,Mumbai,1984,1,5500000,2010-09-28,2010-09-28,Operating
Money On Mobile, Mobile ,IND,Mumbai,2010,1,10000000,2013-09-16,2013-09-16,Operating
Money-Wizards, Finance ,IND,Chennai,,1,0,2012-10-22,2012-10-22,Operating
Moser Baer Solar, Clean Technology ,IND,New Delhi,,1,92500000,2008-09-04,2008-09-04,Operating
Motorpaneer, Automotive ,IND,New Delhi,2013,1,40000,2013-08-23,2013-08-23,Operating
MoveInSync, Software ,IND,Bengaluru,2009,1,4000000,2014-08-07,2014-08-07,Operating
Mowbly, Mobility ,IND,Hyderabad,2011,1,0,2012-03-31,2012-03-31,Operating
Mswipe Technologies, E-Commerce ,IND,Mumbai,,2,0,2013-01-10,2014-02-03,Operating
muHive, Social CRM ,IND,Bengaluru,2012,1,30000,2014-02-01,2014-02-01,Operating
Multistory Learning, Education ,IND,Chennai,2011,1,45000,2013-01-03,2013-01-03,Operating
Must See India, Travel ,IND,Bengaluru,2007,1,5000000,2013-07-02,2013-07-02,Operating
mydala, E-Commerce ,IND,New Delhi,2009,1,6000000,2011-09-25,2011-09-25,Operating
MyDentist, Health Care ,IND,Mumbai,,1,10000000,2013-01-01,2013-01-01,Operating
myeasydocs, Document Management ,IND,Chennai,,1,1000000,2014-09-24,2014-09-24,Operating
Myelin Foundry,Health Care,IND,Bengaluru,2019,4,2001796,26-08-2019,04-12-2022,Operating
Myfriday, Human Resource Automation ,IND,Bengaluru,2012,1,0,2014-01-01,2014-01-01,Operating
MyGate, Information Services,IND,Bengaluru,2016,3,67262961,04-09-2016,22-11-2018,Operating
MyGlamm,Beauty,IND,Mumbai,2015,8,56035717,05-03-2016,02-09-2023,Operating
MyLabYogi.com, Health and Wellness ,IND,Mumbai,2012,1,0,2014-09-16,2014-09-16,Operating
MyNewDeals.com, Hotels ,IND,Ahmedabad,2011,1,200000,2010-01-01,2010-01-01,Operating
myNoticePeriod.com, Recruiting ,IND,Bengaluru,2013,1,5453,2014-09-04,2014-09-04,Operating
Myntra, E-Commerce ,IND,Bengaluru,2007,9,158750000,2007-01-01,2014-01-31,
MyParichay, Facebook Applications ,IND,Bengaluru,2012,1,250000,2011-10-01,2011-10-01,Operating
MyRefers, Employment ,IND,Mumbai,2013,2,100000,2013-09-01,2014-10-15,Operating
Myshaadi.in, Curated Web ,IND,New Delhi,2011,1,0,2012-04-01,2012-04-01,Operating
mYwindow, Mobile ,IND,Nagpur,2013,2,115000,2012-11-20,2012-11-20,Operating
Naabo Solutions, Software ,IND,Bengaluru,2007,1,0,2009-08-13,2009-08-13,Closed
naaptol, E-Commerce ,IND,Mumbai,2008,1,0,2010-08-18,2010-08-18,Operating
NationWide Primary Healthcare Services, Health and Wellness ,IND,Bengaluru,2010,1,1000000,2013-09-25,2013-09-25,Operating
Nazara Technologies, Mobile ,IND,Mumbai,2000,3,9301500,2005-10-19,2013-11-28,Operating
Near Page, Advertising ,IND,Bengaluru,2013,1,10000,2013-08-11,2013-08-11,Operating
Nearbuyme.in, E-Commerce ,IND,Hyderabad-deccan,2014,1,0,2014-11-08,2014-11-08,Operating
Neogrowth, Finance ,IND,Mumbai,2010,1,1620000,2014-03-26,2014-03-26,Operating
NephroPlus, Health and Wellness ,IND,Hyderabad,2009,2,14000000,2011-01-01,2014-03-05,Operating
NeST Group, Software ,IND,Cochin,1991,1,22250000,2006-01-01,2006-01-01,Operating
Net Avenue Technologies, Internet ,IND,Chennai,1998,1,0,2014-11-05,2014-11-05,Operating
Netmagic Solutions, Web Hosting ,IND,Mumbai,1999,2,36000000,2008-02-12,2010-10-07,Acquired
Network18, Public Relations ,IND,New Delhi,,1,10000000,2009-10-01,2009-10-01,Acquired
Newgen Software Technologies, Software ,IND,New Delhi,1992,2,25260000,2008-01-07,2014-02-03,Operating
News in Shorts, News ,IND,New Delhi,2013,1,0,2014-07-14,2014-07-14,Operating
NewsHunt, News ,IND,Bengaluru,,1,18000000,2014-09-22,2014-09-22,Operating
Niki,Natural Language Processing,IND,Bengaluru,2015,10,6287653,18-08-2016,13-11-2025,Operating
nivio, Cloud Data Services ,IND,Gurgaon,2004,1,21000000,2012-02-09,2012-02-09,Closed
NiYO Solutions, FinTech,IND,Bengaluru,2015,3,49200000,13-01-2017,02-01-2019,Operating
Nobel Hygiene, E-Commerce ,IND,Mumbai,2001,1,11500000,2013-03-08,2013-03-08,Operating
NoBroker, Real Estate,IND,Bengaluru,2014,10,214452563,02-11-2016,01-05-2025,Operating
Nogle Technologies, Curated Web ,IND,Noida,2011,1,250000,2011-03-01,2011-03-01,Operating
NoPaperForms.com, Software ,IND,Thane,2010,1,500000,2011-07-01,2011-07-01,Operating
Nova Specialty Hospitals, Health Care ,IND,Bengaluru,2009,1,54000000,2012-08-13,2012-08-13,Operating
NSL Renewable Power, Clean Technology ,IND,Hyderabad,1985,1,5000000,2013-05-29,2013-05-29,Operating
NxtGen Data Center & Cloud Services, Software ,IND,Bengaluru,2012,1,8800000,2013-09-02,2013-09-02,Operating
Nykaa, Fashion ,IND,Mumbai,,1,3400000,2014-07-03,2014-07-03,Operating
Octro, Online Gaming ,IND,Delhi,2006,1,15000000,2014-06-04,2014-06-04,Operating
OfBusiness,FinTech,IND,Gurgaon,2015,7,193125171,01-03-2015,16-05-2021,Operating
OkCredit,FinTech,IND,Faridabad,2017,3,84200000,21-03-2018,05-07-2020,Operating
Ola (ANI Technologies Pvt. Ltd.), Transportation ,IND,Bengaluru,2010,5,276830000,2011-04-21,2014-10-25,Operating
Olah-Viq Software Solutions, Web Development ,IND,Chennai,2010,1,0,2010-12-10,2010-12-10,Closed
Omni Hospitals, Biotechnology ,IND,Hyderabad,2010,1,9800000,2013-08-07,2013-08-07,Operating
One97 Communications, Mobile ,IND,New Delhi,2000,3,35000000,2008-10-23,2011-10-10,Operating
OneAssist Consumer Solutions, Security ,IND,Mumbai,2011,2,0,2011-08-05,2012-06-01,
OneBreath, Consulting ,IND,Bengaluru,,2,3000000,2013-12-12,2014-01-28,Operating
Online Prasad, E-Commerce ,IND,Bengaluru,2012,2,0,2013-06-24,2014-10-13,Operating
OPEN, FinTech,IND,Bengaluru,2017,5,37400000,14-05-2017,14-09-2021,Operating
OrangeScape, Cloud Computing ,IND,Chennai,2003,1,1000000,2012-05-01,2012-05-01,
Oravel, Travel ,IND,New Delhi,2012,2,0,2012-10-15,2014-03-06,Operating
Orbster, Mobile ,IND,Bengaluru,2008,1,736050,2008-01-01,2008-01-01,Operating
Organic Shop, E-Commerce ,IND,Jaipur,2011,1,50000,2013-08-12,2013-08-12,Operating
Orient Green Power, Clean Technology ,IND,Chennai,2007,1,55000000,2008-11-26,2008-11-26,Operating
Oye Rickshaw,Transportation,IND,Gurgaon,2017,3,13275120,26-10-2019,22-02-2021,Operating
OZiva, Health Care,IND,Mumbai,2016,2,17000000,12-06-2016,27-05-2017,Closed
Ozone Media Solutions, Curated Web ,IND,Mumbai,2006,3,7800000,2008-04-01,2012-09-01,Operating
PagarBook,Human Resources,IND,Bengaluru,2019,2,17000000,14-05-2019,11-02-2020,Operating
Paladion, Enterprise Software ,IND,Bengaluru,2000,1,10000000,2014-06-18,2014-06-18,Operating
Parallocity, Analytics ,IND,Bengaluru,,2,0,2005-07-03,2010-11-11,Closed
Pariksha,EdTech,IND,Pune,2015,7,6065079,02-02-2016,15-02-2022,Operating
PayMate India, E-Commerce ,IND,Mumbai,2006,2,14000000,2006-07-01,2008-06-01,Operating
Paytm Payments Bank,Banking,IND,New Delhi,2017,2,28188461,17-03-2018,04-05-2019,Operating
Peel-Works, Human Resources ,IND,Mumbai,2010,1,2000000,2014-07-28,2014-07-28,Operating
People Interactive (India), Curated Web ,IND,Mumbai,,1,8000000,2006-03-10,2006-03-10,Operating
Pepper Content,Content Marketing,IND,Mumbai,2017,2,4506066,17-08-2018,17-10-2019,Operating
Pepperfry.com, E-Commerce ,IND,Mumbai,2011,3,28000000,2011-12-12,2014-05-27,Operating
Perfint Healthcare, Biotechnology ,IND,Chennai,2005,4,32700000,2007-12-01,2013-01-01,Operating
Perpetuuiti TechnoSoft Services, Software ,IND,Gurgaon,2011,1,0,2013-10-23,2013-10-23,Operating
Perpule,Retail Technology,IND,Bengaluru,2016,3,6361203,03-03-2016,18-11-2018,Operating
PhableCare,Health Care,IND,Bengaluru,2017,5,13670000,19-10-2017,21-03-2021,Operating
PharmEasy,Health Care,IND,Mumbai,2015,9,671538857,15-06-2015,11-08-2023,Operating
Phone Warrior, Mobile ,IND,New Delhi,2012,1,550000,2013-12-09,2013-12-09,Operating
Phonethics Mobile Media, Internet ,IND,Mumbai,2006,1,200000,2007-05-07,2007-05-07,Operating
PiggyRide,Information Services,IND,Bengaluru,2019,2,1320000,26-01-2021,01-04-2022,Operating
Pitstop,Automotive,IND,Bengaluru,2015,5,9702517,23-10-2016,02-08-2020,Operating
PlanetSpark,E-Learning,IND,Gurgaon,2016,2,576000,10-12-2016,25-07-2017,Closed
Plash Digital Labs, Mobile ,IND,Bengaluru,2012,1,160000,2013-03-01,2013-03-01,Operating
Play Shifu, Education,IND,Bengaluru,2016,5,28438340,22-07-2016,12-10-2020,Operating
Playcez, Mobile ,IND,New Delhi,2010,2,530000,2012-10-31,2013-03-08,Closed
Plum, Health Care,IND,Bengaluru,2019,5,20645163,13-01-2019,25-04-2023,Operating
Pluss Polymers, Biotechnology ,IND,Haryana,1993,1,2400000,2013-07-08,2013-07-08,Operating
POKKT, Games ,IND,Mumbai,2012,2,2500000,2013-10-02,2014-07-08,Operating
PolicyBazaar, Finance ,IND,Gurgaon,2008,4,29600000,2011-05-25,2014-05-26,Operating
Polygenta Technologies, Textiles ,IND,Mumbai,,1,3600000,2014-07-21,2014-07-21,Operating
Polygon (Previously Matic Network),Blockchain,IND,Mumbai,2017,3,450000,09-03-2018,15-02-2020,Operating
Portea Medical, Health Care ,IND,Bengaluru,,2,8000000,2013-12-02,2014-07-31,Operating
Porter,E-Commerce,IND,Bengaluru,2014,6,32070087,08-02-2016,11-01-2021,Operating
PoshVine, Curated Web ,IND,Bengaluru,2011,1,0,2012-06-26,2012-06-26,Operating
Power2SME, Enterprise Software ,IND,Mumbai,2012,3,14800000,2012-01-01,2014-09-15,Operating
PowerStores, Hardware + Software ,IND,Goa,2011,1,2000000,2013-07-15,2013-07-15,
Practo Technologies Pvt. Ltd, Health Care ,IND,Bengaluru,2008,2,24000000,2012-07-30,2014-08-06,Operating
Pratilipi,EBooks,IND,Bengaluru,2015,5,29833055,02-06-2017,08-08-2021,Operating
Press Play, Startups ,IND,New Delhi,2013,1,500000,2014-08-20,2014-08-20,Operating
PressConnect, News ,IND,Bengaluru,2012,1,500000,2012-01-01,2012-01-01,Closed
PriceBaba, Search ,IND,Mumbai,2012,1,0,2013-05-14,2013-05-14,Operating
PriceBurp, Shopping ,IND,Mumbai,2010,1,100000,2014-10-20,2014-10-20,Operating
Prime Focus, Games ,IND,Goregaon,1997,1,53000000,2013-06-21,2013-06-21,Operating
Prime Focus Technologies, Software ,IND,Mumbai,2008,1,7500000,2014-04-09,2014-04-09,Operating
Printland, E-Commerce ,IND,New Delhi,2011,1,810094,2013-09-20,2013-09-20,Operating
Pristyn Care,Health Care,IND,Gurgaon,2018,4,81000000,19-12-2018,09-10-2021,Acquired
Private Company, Social Media ,IND,Mumbai,,1,0,2014-03-31,2014-03-31,Operating
Prizm Payment Services, Finance ,IND,Chennai,2008,1,8000000,2011-08-05,2011-08-05,Acquired
Profoundis Labs, Social Media ,IND,Kochi,2012,1,40000,2013-12-17,2013-12-17,Operating
Progcap, Finance,IND,New Delhi,2017,4,32324325,20-06-2017,02-10-2020,Operating
PropTiger, Real Estate ,IND,Noida,2011,1,30000000,2014-11-25,2014-11-25,Operating
Purple Squirrel,,IND,Bombay,,1,300000,2014-07-01,2014-07-01,Operating
